Entity/Individual,US,UK,EU,Switzerland,Canada,Australia,Sectors for Entities as a filter
AO Gosudarstvennoe Nauchno Proizvodstvennoe Predpriyatie Region,✅,❌,❌,❌,❌,❌,I
AO Institute Giprostroymost — Saint-Petersburg,✅,✅,✅,✅,✅,❌,I
AO KONTSERN OKEANPRIBOR,✅,❌,❌,❌,❌,❌,I
AO Kronshtadt,❌,❌,❌,✅,❌,❌,I
AO Moskovski Mashinostroitelny Eksperimentalny Zavod - Kompozitsionnye Tekhnologii,✅,❌,❌,❌,❌,❌,I
AO Nauchno-Proizvodstvennoe Obedinenie Optika,✅,❌,❌,❌,❌,❌,O
AO Nauchno-Proizvodstvenny Kontsern Tekhnologii Mashinostroeniya,✅,❌,❌,❌,❌,❌,O
AO NII Vektor,✅,❌,❌,❌,❌,❌,O
AO Novosibirski Zavod Poluprovodnikovykh Priborov S OKB,✅,❌,❌,❌,❌,❌,O
AO Pasit,✅,❌,❌,❌,❌,❌,O
AO PETROVSKII ELEKTROMEKHANICHESKII ZAVOD MOLOT,✅,❌,❌,❌,❌,❌,O
AO Positive Technologies,✅,❌,❌,❌,❌,❌,O
AO Ravenstvo-Service,✅,❌,❌,❌,❌,❌,O
AO RT-AVTO,✅,❌,❌,❌,❌,❌,O
AO RT-Biotekhprom,✅,❌,❌,❌,❌,❌,O
AO RT- Chemical Technologies and Composite Materials,✅,❌,❌,❌,❌,❌,O
AO RT-Okhrana,✅,❌,❌,❌,❌,❌,O
AO RT-Stroitelnye Tekhnologii,✅,❌,❌,❌,❌,❌,O
AO RTS-KHOLDING,✅,❌,❌,❌,❌,❌,O
AO Saratovski Radiopribornyi Zavod,✅,❌,❌,❌,❌,❌,O
AO Shvabe,✅,❌,❌,❌,❌,❌,O
AO SOVKOMBANK STRAKHOVANIE,✅,❌,❌,❌,❌,❌,O
AO Tekhnodinamika,✅,❌,❌,❌,❌,❌,O
AO Tsentralnoe Konstruktorskoe Byuro Spetsialnykh Radiomaterialov,✅,❌,❌,❌,❌,❌,O
AO Turaevskoe Mashinostroitelnoe Konstruktorskoe Byuro Soyuz,✅,❌,❌,❌,❌,❌,O
AO Verkhneufaleiskii Zavod Uralelement,✅,❌,❌,❌,❌,❌,O
AO Yaltinskaya Kinodstudiya,✅,❌,❌,❌,❌,❌,O
AO ZAVOD FIOLENT,✅,❌,❌,❌,❌,❌,O
Aquanika,✅,❌,❌,❌,✅,✅,O
AREXIMBANK-GAZPROMBANK GROUP CJSC,✅,❌,❌,❌,❌,❌,O
Argut OOO,❌,❌,❌,✅,❌,❌,O
ARIMERO HOLDING LIMITED,✅,❌,❌,❌,❌,❌,O
Armed Forces of the Russian Federation,❌,❌,❌,❌,❌,✅,O
Army of the Southeast,❌,✅,✅,❌,✅,✅,O
ARTEMIS OFFSHORE,✅,❌,❌,❌,❌,❌,O
Association for Free Research and International Cooperation,✅,❌,❌,❌,❌,❌,O
AUCTION LLC,✅,❌,❌,❌,❌,❌,O
Autolex Transport LTD,✅,❌,❌,❌,❌,❌,O
AUTOMATED BANKING TECHNOLOGIES CJSC,✅,❌,❌,❌,❌,❌,O
Avanfort OOO,✅,❌,❌,❌,❌,❌,O
Avant Space LLC,❌,❌,❌,✅,❌,❌,O
Avia Group LLC,✅,❌,❌,❌,✅,✅,O
Avia Group Nord LLC,✅,❌,❌,❌,✅,✅,O
AVIA GROUP TERMINAL LLC,✅,❌,❌,❌,❌,❌,O
AVIASTAR-SP AIRCRAFT MANUFACTURING ENTERPRISE,✅,❌,❌,❌,❌,❌,O
Baikal Electronics,❌,❌,❌,✅,❌,❌,O
BAKHTEMIR,✅,❌,❌,❌,❌,❌,O
Baltic Leader,✅,❌,❌,❌,❌,❌,O
BALTIYSKIY ISSLEDOVATEL,✅,❌,❌,❌,❌,❌,O
"BANCO VTB AFRICA, S.A.",✅,❌,❌,❌,❌,❌,O
BANK BELVEB OJSC,✅,❌,❌,❌,❌,❌,O
BANK NATIONAL FACTORING COMPANY JOINT STOCK COMPANY,✅,❌,❌,❌,❌,❌,O
Bank of Moscow,✅,❌,❌,❌,✅,❌,O
Bank Otkritie,✅,✅,❌,✅,✅,✅,O
Bank Rossiya,✅,✅,✅,✅,❌,✅,O
"BANK VTB (KAZAKHSTAN), JSC",✅,❌,❌,❌,❌,❌,O
BANK VTB 24 PJSC,✅,❌,❌,❌,❌,❌,O
BANKRUPTCY TECHNOLOGY CENTER LLC,✅,❌,❌,❌,❌,❌,O
BARUS LLC,✅,❌,❌,❌,❌,❌,O
Basic Element Limited,✅,❌,❌,❌,❌,❌,O
Bayan Rasaneh Gostar Institute,✅,❌,❌,❌,❌,❌,O
"BELOGLINSKI ELEVATOR, OAO",✅,❌,❌,❌,❌,❌,O
Belspetsvneshtechnika,❌,✅,❌,❌,❌,✅,O
Beratex Group Limited,✅,❌,❌,❌,❌,❌,O
Beriev Aircraft Company PJSC,❌,❌,❌,❌,✅,❌,O
BEST2PAY LIMITED,✅,❌,❌,❌,❌,❌,O
B-Finance LTD,✅,❌,❌,❌,❌,❌,O
BIKE CENTER,✅,❌,❌,❌,❌,❌,O
BLACK SEA BANK FOR DEVELOPMENT AND RECONSTRUCTION,❌,✅,❌,❌,✅,✅,O
BM BANK PJSC,✅,❌,❌,❌,❌,❌,O
BM HOLDING AG,✅,❌,❌,❌,❌,❌,O
"BM PROEKT, OOO",✅,❌,❌,❌,❌,❌,O
"BM-DIREKTSIYA, OOO",✅,❌,❌,❌,❌,❌,O
BOM ASSET MANAGEMENT LTD,✅,❌,❌,❌,❌,❌,O
BOM FINANCE LTD,✅,❌,❌,❌,❌,❌,O
BOM PROJECT FINANCING LTD,✅,❌,❌,❌,❌,❌,O
"BPO PECHATNIKI, OAO",✅,❌,❌,❌,❌,❌,O
BPS-SBERBANK,✅,❌,❌,❌,❌,❌,O
BUSINESS-FINANCE LLC,✅,❌,❌,❌,❌,❌,O
BYLINNYE BOGATYRI LLC,✅,❌,❌,❌,❌,❌,O
Center for Technological Competencies in Radiophtonics,❌,❌,❌,✅,❌,❌,O
CENTRAL BANK OF THE RUSSIAN FEDERATION,✅,❌,❌,❌,✅,✅,O
CENTRAL REPUBLIC BANK,✅,❌,❌,❌,❌,❌,O
Central Research and Development Institute Tsiklon,❌,❌,❌,✅,❌,❌,O
Central Research Institute of Machine Building JSC,❌,❌,❌,❌,✅,❌,O
CENTREX EUROPE ENERGY AND GAS AG,✅,❌,❌,❌,❌,❌,O
CETELEM BANK LIMITED LIABILITY COMPANY,✅,❌,❌,❌,✅,✅,O
Chernomorneftegaz,✅,❌,❌,❌,✅,✅,O
"CHERNOMORTRANSNEFT, AO",✅,❌,❌,❌,❌,❌,O
CJSC ‘Interavtomatika’,❌,❌,✅,❌,✅,❌,O
CJSC ABR Management,✅,❌,❌,❌,❌,❌,O
CJSC Sovmortrans,✅,❌,❌,❌,❌,❌,O
CJSC VAD,❌,✅,❌,✅,❌,❌,O
CJSC VAD Aktsionernoe Obshchestvo VAD,❌,✅,✅,❌,❌,❌,O
CJSC VANKORNEFT,✅,❌,❌,❌,❌,❌,O
CJSC Zest,✅,❌,❌,❌,✅,❌,O
Communication Center of the Ministry of Defense,❌,❌,❌,✅,✅,❌,O
Concord Catering,✅,❌,❌,❌,❌,❌,O
Cossack National Guard,❌,✅,✅,✅,✅,✅,O
Credit Bank of Moscow,✅,❌,❌,❌,❌,✅,O
CREDIT URAL BANK,✅,❌,❌,❌,❌,❌,O
CRIMEAN ENTERPRISE AZOV DISTILLERY PLANT,✅,✅,✅,✅,✅,✅,O
Crimean First Insurance Company,❌,❌,✅,❌,❌,❌,O
CRIMEAN RAILWAY,✅,❌,❌,❌,❌,❌,O
Crimean Sea Ports,✅,✅,❌,✅,❌,✅,O
Crocus Nano Electronics,❌,❌,❌,✅,❌,❌,O
CROSSPLANET LTD,✅,❌,❌,❌,❌,❌,O
"DALTRANSGAZ, OAO",✅,❌,❌,❌,❌,❌,O
Dalzavod Ship-Repair Center,❌,❌,❌,✅,❌,❌,O
Death Battalion,❌,✅,✅,✅,❌,❌,O
DESIGN BUREAU OF SPECIAL MACHINE-BUILDING,✅,❌,❌,❌,❌,❌,O
DEVELOPMENT CORPORATION OF NORTH CAUCASUS OJSC,✅,❌,❌,❌,❌,❌,O
Dilbar,✅,❌,❌,❌,❌,❌,O
Djeco Group Holding Ltd,✅,❌,❌,❌,❌,❌,O
Djeco Group LP,✅,✅,❌,❌,❌,❌,O
Dobrolet,❌,✅,✅,✅,✅,❌,O
Donbass People’s Militia,✅,✅,✅,❌,✅,✅,O
Doncoaltrade Sp Z O O,✅,❌,❌,❌,❌,❌,O
Donetsk People’s Republic,✅,✅,❌,❌,✅,❌,O
Donetsk Republic (Public Organisation),❌,✅,❌,❌,✅,✅,O
"DRUZHBA, AO",✅,❌,❌,❌,❌,❌,O
"DSD, OOO",✅,❌,❌,❌,❌,❌,O
Elara,❌,❌,❌,✅,❌,❌,O
Electronic Computing and Information Systems,❌,❌,❌,✅,❌,❌,O
Elitnye Doma OOO,✅,❌,❌,❌,❌,❌,O
ELPROM,❌,❌,❌,✅,❌,❌,O
Emennet Pasargad,✅,❌,❌,❌,❌,❌,O
Engineering Center Ltd.,❌,❌,❌,✅,❌,❌,O
Equipment Development Department,✅,❌,❌,❌,❌,❌,O
Era Fund LLC,✅,❌,❌,❌,❌,❌,O
Era-Media TOV,✅,❌,❌,❌,❌,❌,O
Eurasian Youth Union,✅,❌,❌,❌,✅,❌,O
Evro Polis Ltd.,✅,❌,❌,❌,❌,❌,O
Exiar,❌,✅,❌,❌,❌,✅,O
EXIMBANK OF RUSSIA JSC,✅,❌,❌,❌,✅,❌,O
"EYANSKI ELEVATOR, OAO",✅,❌,❌,❌,❌,❌,O
FAU 'GLAVGOSEKSPERTIZA ROSSII',✅,❌,❌,❌,❌,❌,O
FEDERAL CENTER FOR PROJECT FINANCE,✅,❌,❌,❌,❌,❌,O
FEDERAL GOVERNMENT INSTITUTION PRETRIAL DETENTION CENTER NO 1 OF THE DIRECTORATE OF THE FEDERAL PENITENTIARY SERVICE FOR THE REPUBLIC OF CRIMEA AND SEVASTOPOL,✅,❌,❌,❌,❌,❌,O
Federal Research Center Boreskov Institute of Catalysis,❌,❌,❌,✅,✅,❌,O
FEDERAL SECURITY SERVICE,✅,❌,❌,❌,❌,❌,O
Federal State Autonomous Institution Military Innovative Technopolis ERA,✅,❌,❌,❌,❌,❌,O
Federal State Autonomous Scientific Establishment Scientific Research Institute Specialized Security Computing Devices And Automation,✅,❌,❌,❌,❌,❌,O
"Federal State Budgetary Enterprise ""Sanatorium Nizhnyaya Oreanda"" of the Administration of the President of the Russian Federation",❌,✅,❌,✅,✅,❌,O
FEDERAL STATE BUDGETARY INSTITUTION MARINE RESCUE SERVICE,✅,❌,❌,❌,❌,❌,O
Federal State Budgetary Enterprise ‘Production-Agrarian Union “Massandra”’ of the Administration of the President of the Russian Federation,❌,❌,✅,❌,❌,❌,O
Federal State Budgetary Enterprise Special Flight Unit Rossiya of the Administration of the President of Russia,❌,❌,❌,✅,✅,❌,O
Federal State of Novorossiya,❌,✅,❌,❌,✅,✅,O
Federal State Unitary Enterprise Dukhov Automatics Research Institute,❌,❌,❌,✅,✅,❌,O
Federal State Unitary Enterprise “Crimea Railway”,✅,✅,✅,✅,✅,✅,O
Federal State Unitary Enterprise State Research and Production Enterprise Bazalt,✅,❌,❌,❌,✅,❌,O
FEDERAL SUE SHIPYARD 'MORYE',✅,❌,❌,❌,❌,❌,O
Fentex Properties LTD.,✅,❌,❌,❌,❌,❌,O
Feodosiya Enterprise,✅,❌,❌,❌,✅,✅,O
Fesco Magadan,✅,❌,❌,❌,❌,❌,O
Fesco Moneron,✅,❌,❌,❌,❌,❌,O
FINANSOVY ASSISTENT CJSC,✅,❌,❌,❌,❌,❌,O
FINVAL,✅,❌,❌,❌,❌,❌,O
Firma Veardon OOO,✅,❌,❌,❌,❌,❌,O
First Crimean Insurance Company,❌,✅,❌,✅,✅,✅,O
FKU UPRDOR 'TAMAN',✅,❌,❌,❌,❌,❌,O
Foreign Intelligence Service,❌,❌,❌,✅,✅,❌,O
Forensic Center of Nizhniy Novgorod Region Main Directorate of the Ministry of Interior Affairs,❌,❌,❌,✅,✅,❌,O
Forss Technology Ltd.,❌,❌,❌,✅,❌,❌,O
Fortuna,✅,❌,❌,❌,❌,❌,O
Free Donbass,❌,✅,✅,✅,✅,❌,O
GARANTEX EUROPE OU,✅,❌,❌,❌,❌,❌,O
Gas Industry Insurance Company SOGAZ,❌,✅,✅,✅,❌,❌,O
Gaz Group,✅,❌,❌,❌,❌,❌,O
Gaz-Alyans OOO,❌,❌,❌,❌,✅,❌,O
GAZKARDSERVIS OOO,✅,❌,❌,❌,❌,❌,O
"GAZMASH, AO",✅,❌,❌,❌,❌,❌,O
"GAZ-OIL, OOO",✅,❌,❌,❌,❌,❌,O
Gazprom,❌,❌,❌,❌,✅,❌,O
"Gazprom Burenie, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM DOBYCHA IRKUTSK, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM DOBYCHA KRASNODAR, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM DOBYCHA KUZNETSK, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM DOBYCHA NADYM, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM DOBYCHA NOYABRSK, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM DOBYCHA URENGOI, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM DOBYCHA YAMBURG,OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM ENERGO, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM FLOT, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM GAZNADZOR, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM GAZOBEZOPASNOST, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM GEOLOGORAZVEDKA, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM INFORM, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM INVEST, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM KAPITAL, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM KOMPLEKTATSIYA, OOO",✅,❌,❌,❌,❌,❌,O
GAZPROM MEDIA HOLDING,✅,❌,❌,❌,❌,❌,O
"GAZPROM MEZHREGIONGAZ, OOO",✅,❌,❌,❌,❌,❌,O
Gazprom Neft,❌,❌,❌,✅,✅,❌,O
"GAZPROM PERERABOTKA, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM PERSONAL, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM PROMGAZ, AO",✅,❌,❌,❌,❌,❌,O
"GAZPROM RUSSKAYA, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM SOTSINVEST, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM SVYAZ, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM TELEKOM, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM TRANSGAZ KAZAN, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM TRANSGAZ KRASNODAR, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM TRANSGAZ MAKHACHKALA, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM TRANSGAZ NIZHNI NOVGOROD, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM TRANSGAZ SAMARA, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM TRANSGAZ SANKT-PETERBURG, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM TRANSGAZ SARATOV, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM TRANSGAZ STAVROPOL, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM TRANSGAZ SURGUT, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM TRANSGAZ TOMSK, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM TRANSGAZ UFA, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM TRANSGAZ UKHTA, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM TRANSGAZ VOLGOGRAD, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM TRANSGAZ YUGORSK, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM TSENTRREMONT, OOO",✅,❌,❌,❌,❌,❌,O
"GAZPROM VNIIGAZ, OOO",✅,❌,❌,❌,❌,❌,O
Gazprombank,✅,✅,❌,✅,✅,✅,O
GAZPROMBANK (SWITZERLAND) LTD,✅,❌,❌,❌,❌,❌,O
GAZPROMBANK LATIN AMERICA VENTURES BV,✅,❌,❌,❌,❌,❌,O
GAZPROMBANK LEASING ZAO,✅,❌,❌,❌,❌,❌,O
Gazprombank OAO,✅,❌,❌,❌,✅,❌,O
GAZPROMBANK UPRAVLENIE AKTIVAMI,✅,❌,❌,❌,❌,❌,O
Geopolitica,✅,✅,❌,❌,❌,❌,O
"GIPROTRUBOPROVOD, AO",✅,❌,❌,❌,❌,❌,O
GLOBEXBANK,✅,❌,❌,❌,❌,❌,O
GMCS MANAGEMENT Limited liability company,✅,❌,❌,❌,❌,❌,O
Gorky Zelenodolsk Plant,✅,❌,✅,✅,❌,❌,O
GPB FINANCIAL SERVICES LIMITED,✅,❌,❌,❌,❌,❌,O
GPB GLOBAL RESOURCES BV,✅,❌,❌,❌,❌,❌,O
GPB INTERNATIONAL SA,✅,❌,❌,❌,❌,❌,O
GPB INVEST OOO,✅,❌,❌,❌,❌,❌,O
GPB-DI HOLDINGS LIMITED,✅,❌,❌,❌,❌,❌,O
GPB-FACTORING OOO,✅,❌,❌,❌,❌,❌,O
GPB-MORTGAGE JSC,✅,❌,❌,❌,❌,❌,O
Grand Service Express,✅,❌,❌,❌,❌,❌,O
GUP RK KTB SUDOKOMPOZIT,✅,❌,❌,❌,❌,❌,O
"IA InfoRos, OOO",✅,❌,❌,❌,❌,❌,O
"IFDK, ZAO",✅,❌,❌,❌,❌,❌,O
IKS JOINT STOCK COMPANY,✅,❌,❌,❌,❌,❌,O
INFORMATSIYNE AGENSTVO ONLI N'YUZ TOV,✅,❌,❌,❌,❌,❌,O
"InfoRos, OOO",✅,❌,❌,❌,❌,❌,O
Inresbank LLC,✅,❌,❌,❌,✅,❌,O
"INSTAR LODZHISTIKS, OOO",✅,❌,❌,❌,❌,❌,O
"INSTITUT STROIPROEKT, AO",✅,❌,❌,❌,❌,❌,O
Institute of Instrument Design (NIIP),✅,❌,❌,❌,✅,❌,O
INSURANCE COMPANY SBERBANK INSURANCE LIMITED LIABILITY COMPANY,✅,❌,❌,❌,❌,❌,O
INSURANCE COMPANY SBERBANK LIFE INSURANCE LIMITED LIABILITY COMPANY,✅,❌,❌,❌,❌,❌,O
Integral SPB,❌,❌,❌,✅,❌,❌,O
International Anticrisis Center,✅,❌,❌,❌,❌,❌,O
International Center for Quantum Optics and Quantum Technologies,❌,❌,❌,✅,❌,❌,O
International Helicopters Programs Limited Liability Company,✅,❌,❌,❌,❌,❌,O
International Union of Public Associations ‘Great Don Army’,❌,✅,✅,✅,✅,✅,O
International Union of Virtual Media,✅,❌,❌,❌,❌,❌,O
Internet Research Agency,❌,✅,✅,✅,❌,❌,O
Invention Bridge SL,✅,❌,❌,❌,❌,❌,O
Invest Capital Bank,✅,❌,❌,❌,✅,✅,O
IPP Oil Products (Cyprus) Limited,✅,❌,❌,❌,❌,❌,O
Irkut Corporation,❌,❌,❌,✅,✅,❌,O
Irkut Research and Production Corporation PJSC,❌,❌,❌,✅,✅,❌,O
IRKUTSK AVIATION PLANT,✅,❌,❌,❌,❌,❌,O
"IS Bank, AO",✅,✅,❌,❌,❌,✅,O
Islamic Radio and Television Union,✅,❌,❌,❌,❌,❌,O
Ivan Sidorenko,✅,❌,❌,❌,❌,❌,O
IZ KARTEKS OOO,✅,❌,❌,❌,❌,❌,O
Izhevsky Mekhanichesky Zavod JSC,✅,❌,❌,❌,✅,❌,O
IZHEVSK UNMANNED SYSTEMS RESEARCH AND PRODUCTION ASSOCIATED LIMITED LIABILITY COMPANY,✅,❌,❌,❌,❌,❌,O
IZHORSKIYE ZAVODY OAO,✅,❌,❌,❌,❌,❌,O
JOINT-STOCK COMMERCIAL BANK NOVIKOMBANK,✅,❌,❌,✅,✅,✅,O
Joint Stock Commercial Bank Rublev,✅,❌,❌,❌,❌,❌,O
JOINT STOCK COMPANY 150 AIRCRAFT REPAIR PLANT,✅,❌,❌,❌,❌,❌,O
JOINT STOCK COMPANY 356 AIRCRAFT REPAIR PLANT,✅,❌,❌,❌,❌,❌,O
Joint Stock Company 711 Aircraft Repair Plant,✅,❌,❌,❌,❌,❌,O
JOINT STOCK COMPANY 810 AIRCRAFT REPAIR PLANT,✅,❌,❌,❌,❌,❌,O
JOINT STOCK COMPANY ALFA-BANK,✅,❌,❌,❌,❌,❌,O
JOINT STOCK COMPANY ALMAZ-ANTEY AIR DEFENSE CONCERN MAIN SYSTEM DESIGN BUREAU NAMED BY ACADEMICIAN A.A. RASPLETIN,✅,❌,❌,❌,❌,❌,O
JOINT STOCK COMPANY AVANGARD,✅,❌,❌,❌,❌,❌,O
JOINT STOCK COMPANY BUSINESS ENVIRONMENT,✅,❌,❌,❌,❌,❌,O
Joint Stock Company Central Design Bureau of Automatics,✅,❌,❌,❌,❌,❌,O
Joint Stock Company Dagdizel Plant,✅,❌,❌,❌,❌,❌,O
JOINT STOCK COMPANY FEDERAL SCIENTIFIC AND PRODUCTION CENTER TITAN BARRIKADY,✅,✅,❌,❌,❌,❌,O
Joint Stock Company Concern Granit-Electron,✅,❌,❌,❌,❌,❌,O
Joint Stock Company Concern Sea Underwater Weapon Gidropribor,✅,❌,❌,❌,❌,❌,O
JOINT STOCK COMPANY HELICOPTER SERVICE COMPANY,✅,❌,❌,❌,❌,❌,O
JOINT STOCK COMPANY KAZAN HELICOPTERS,✅,❌,❌,✅,❌,❌,O
Joint Stock Company Kronshtadt,✅,❌,❌,❌,❌,❌,O
JOINT STOCK COMPANY KUMERTAU AVIATION PRODUCTION ENTERPRISE,✅,❌,❌,❌,❌,❌,O
JOINT STOCK COMPANY LOYALTY PROGRAMS CENTER,✅,❌,❌,❌,❌,❌,O
Joint Stock Company Machine Building Design Bureau,✅,❌,❌,❌,❌,❌,O
JOINT STOCK COMPANY MANAGEMENT COMPANY OF THE RUSSIAN DIRECT INVESTMENT FUND,✅,❌,❌,❌,❌,❌,O
Joint Stock Company Mikron,✅,❌,❌,❌,❌,❌,O
JOINT STOCK COMPANY NATIONAL HELICOPTER CENTER MIL AND KAMOV,✅,❌,❌,❌,❌,❌,O
JOINT STOCK COMPANY ODK-KLIMOV,✅,❌,❌,❌,❌,❌,O
JOINT STOCK COMPANY PROGRESS ARSENYEV AVIATION COMPANY,✅,❌,❌,❌,❌,❌,O
JOINT STOCK COMPANY RASCHETNIYE RESHENIYA,✅,❌,❌,❌,❌,❌,O
JOINT STOCK COMPANY REDUCTOR - PM,✅,❌,❌,❌,❌,❌,O
Joint Stock Company Research and Design Institute Sea Thermal Engineering,✅,❌,❌,❌,❌,❌,O
JSC Almaz-Antey Air and Space Defence Corporation,✅,✅,✅,✅,✅,✅,O
JSC ANGSTREM-T,✅,❌,❌,❌,❌,❌,O
JSC Bank Rublev,✅,❌,❌,❌,❌,❌,O
JSC BLACK SEA BANK OF DEVELOPMENT AND RECONSTRUCTION,✅,❌,❌,❌,❌,❌,O
JSC COMMERCIAL BANK NORTH CREDIT,✅,❌,❌,❌,❌,❌,O
JSC CONCERN ALMAZ-ANTEY,✅,❌,❌,✅,❌,❌,O
JSC CONCERN RADIO-ELECTRONIC TECHNOLOGIES,✅,❌,❌,❌,❌,❌,O
JSC Concern Sozvezdie,✅,❌,❌,❌,✅,❌,O
JSC Genbank,✅,✅,❌,❌,✅,✅,O
JSC HALS-DEVELOPMENT,✅,❌,❌,❌,❌,❌,O
JSC INFRAVEB,✅,❌,❌,❌,❌,❌,O
JSC Kalashnikov Concern,✅,❌,❌,✅,✅,❌,O
JSC Kalinin Machine-Building Plant (MZiK),❌,❌,❌,❌,✅,❌,O
JSC Lenpromtransproyekt,❌,✅,❌,✅,✅,✅,O
JSC MIC NPO Mashinostroyenia,❌,❌,❌,❌,✅,❌,O
JSC MILITARY-INDUSTRIAL CORPORATION NPO MASHINOSTROYENIA,✅,❌,❌,❌,❌,❌,O
JSC Nobility,✅,❌,❌,❌,❌,❌,O
JSC PFC CSKA,✅,❌,❌,❌,❌,❌,O
JSC Production-Agrarian Union ‘Massandra’,❌,❌,❌,✅,❌,❌,O
JSC Russian Aircraft Corporation MiG,❌,❌,❌,✅,✅,❌,O
JSC RUSSIAN EXPORT CENTER,✅,❌,❌,❌,❌,❌,O
JSC SANATORIUM AY-PETRI,✅,❌,❌,❌,❌,❌,O
JSC SANATORIUM DYULBER,✅,❌,❌,❌,❌,❌,O
JSC SANATORIUM MISKHOR,✅,❌,❌,❌,❌,❌,O
JSC SBERBANK OF RUSSIA,✅,✅,❌,✅,✅,✅,O
JSC SBERBANK-AUTOMATED SYSTEM FOR TRADING,✅,❌,❌,❌,❌,❌,O
JSC SEVASTOPOLSKY MORSKOY BANK,✅,❌,❌,❌,❌,❌,O
JSC SPARKLING WINE PLANT NOVY SVET,✅,✅,✅,✅,✅,✅,O
JSB Sobinbank,✅,❌,❌,❌,✅,❌,O
JSC Sirius,❌,❌,❌,✅,✅,❌,O
JSC SLAVA,✅,❌,❌,❌,❌,❌,O
