Sanctioned Entity/Individual,US,UK,EU,Switzerland,Canada,Australia,Japan,Type,Sanctions Lists,Notes,
Aktsionernoe Obshchestvo Gosudarstvennoe Nauchno Proizvodstvennoe Predpriyatie Region,✅,❌,❌,✅,✅,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Moskovski Mashinostroitelny Eksperimentalny Zavod - Kompozitsionnye Tekhnologii,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Nauchno Issledovatelskii Institut Promyshlennogo Televideniya Rastr,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Nauchno Issledovatelskii Institut Sredstv Vychislitelnoi Tekhniki,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Nauchno Proizvodstvennoe Predpriyatie Svyaz,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Nauchno-proizvodstvennoe Obedinenie Optika,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Novosibirski Zavod Poluprovodnikovykh Priborov S Okb,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Pasit,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Petrovskii Elektromekhanicheskii Zavod Molot,✅,❌,❌,✅,✅,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Pozitiv Teknolodzhiz,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Ravenstvo-Service,✅,❌,❌,✅,✅,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Rt-avto,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Rt-biotekhprom,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Rt-khimicheskie Tekhnologii I Kompozitsionnye Materialy,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Rt-okhrana,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Rt-stroitelnye Tekhnologii,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Rts-kholding,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Ryazanskii Zavod Metallokeramicheskikh Priborov,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Saratovski Radiopribornyi Zavod,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Shvabe,✅,❌,❌,❌,✅,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Sovkombank Strakhovanie,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Spetsialnoe Konstruktorskoe Byuro Vychislitelnoi Tekhniki,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Spetsialnoe Proektno Konstruktorskoe Byuro Sredstv Upravleniya,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Tekhnodinamika,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Torgovo-Finansovaya Kompaniya Kamaz,✅,❌,❌,✅,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Tsentralnoe Konstruktorskoe Byuro Spetsialnykh Radiomaterialov,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionernoe Obshchestvo Turaevskoe Mashinostroitelnoe Konstruktorskoe Byuro Soyuz,✅,❌,❌,✅,❌,❌,✅,Entity,,,
Aktsionernoe Obshchestvo Verkhneufaleiskii Zavod Uralelement,✅,❌,❌,❌,❌,❌,❌,Entity,,,
Aktsionerny Bank Russian Federation,✅,❌,✅,❌,✅,✅,✅,Entity,,,
Al-Sayyad Company for Guarding  and Protection Services Ltd,❌,✅,✅,✅,❌,❌,❌,Entity,,,
Alagir Resistor Factory,❌,❌,❌,✅,❌,❌,❌,Entity,,,
Alan Valeryevich Lushnikov,❌,❌,✅,✅,✅,❌,❌,Individual,,,
"Albashski Elevator, Oao",✅,❌,❌,❌,❌,❌,❌,Entity,,,
Albert Alexandrovich BORIS,✅,✅,❌,❌,❌,❌,❌,Individual,,,
Aleksander Aleksandrovich Mikheev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Aleksander Kuleshov,❌,✅,❌,❌,❌,❌,❌,Individual,,,
Aleksander Omelchenko,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Aleksander Pavlovich Lapin,❌,✅,❌,❌,✅,✅,❌,Individual,,,
Aleksander Yurievich Muranov,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Aleksander Yuryevich Nazarov,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Aleksandr Akimovich Karaman,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Aleksandr Aleksandrovich Oprishhenko,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Aleksandr Aleksandrovich Potapov,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Aleksandr Aleksandrovich Shulgin,❌,✅,✅,✅,❌,✅,❌,Individual,,,
Aleksandr Alekseyevich Polyakov,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Aleksandr Anatolevich Skachkov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Aleksandr Borisovich Simonenko,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Aleksandr Borisovich Totoonov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Aleksandr Dmitrievich Beglov,✅,✅,❌,❌,✅,✅,❌,Individual,,,
Aleksandr Dmitrievich Kharichev,❌,✅,✅,✅,❌,❌,❌,Individual,,,
Aleksandr Dugin,✅,❌,✅,✅,✅,❌,❌,Individual,,,
Aleksandr Evgenevich Chmyhalov,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Aleksandr Grigorevich Plekhov,❌,✅,❌,❌,❌,✅,❌,Individual,,,
Aleksandr Grigoryevich Volfovich,❌,✅,✅,✅,❌,✅,❌,Individual,,,
Aleksandr Igorevich Kofman,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Aleksandr Ivanovich Golenko,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Aleksandr Ivanovich Yarovikov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Aleksandr Kozlovskiy,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Aleksandr Krivets,❌,✅,✅,✅,❌,❌,❌,Individual,,,
Aleksandr Leonidovich Shershnev,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Aleksandr Lozitsky,❌,✅,✅,✅,❌,❌,❌,Individual,,,
Aleksandr Mikhailovich Stepanov,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Aleksandr Mikhaylovich Strelyukhin,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Aleksandr Nikolaevich Popov,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Aleksandr Nikolayevich Vorobev,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Aleksandr Okulov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Aleksandr Pashkevich,❌,✅,✅,✅,❌,❌,❌,Individual,,,
Aleksandr Pavlovich Sarkisyan,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Aleksandr Pavlovich Teterdinko,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Aleksandr Petrovich Chupriyan,❌,✅,❌,❌,✅,✅,❌,Individual,,,
Aleksandr Semyonovich Sanchik,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Aleksandr Sergeevich Gridenko,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Aleksandr Sergeevich Malykhin,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Aleksandr Valentinovich Novak,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Aleksandr Valerevich Kostenko,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Aleksandr Valeryevich Kriyerenko,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Aleksandr Vasilievich Bortnikov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Aleksandr Vasilyevich Basov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Aleksandr Viktorovich Galkin,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Aleksandr Viktorovich Gusev,❌,✅,❌,❌,✅,❌,❌,Individual,,,
Aleksandr Viktorovich Ionov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Aleksandr Viktorovich Naumenko,❌,✅,✅,✅,❌,✅,❌,Individual,,,
Aleksandr Viktorovich Vins,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Aleksandr Viktorovich Vitko,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Aleksandr Viktorovich Yermolenko,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Aleksandr Vladelenovich Vaynberg,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Aleksandr Vladimirovich Dvoinych ,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Aleksandr Vladimirovich Dvornikov,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Aleksandr Vladimirovich Gutsan,✅,✅,❌,❌,✅,✅,❌,Individual,,,
Aleksandr Vladimirovich Kozlov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Aleksandr Vladimirovich Osadchuk,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Aleksandr Vyacheslavovich Novyukhov,❌,✅,❌,❌,❌,❌,❌,Individual,,,
Aleksandr Yakovlevich Shkolnik,❌,✅,❌,❌,❌,✅,❌,Individual,,,
Aleksandr Yevgenyevich Pentya,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Aleksandr Yurevich Borodai,❌,✅,❌,❌,✅,✅,✅,Individual,,,
Aleksandr Yurevich Borodai,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Aleksandr Yurevich Gromakov,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Aleksandr Yurevich Petukhov,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Aleksandr Yurievich Kobets,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Aleksandr Yurievich Timofeev,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Aleksandr Yuryevich Kuzin,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Aleksandr Zaldostanov,✅,❌,✅,✅,✅,❌,❌,Individual,,,
Aleksandra Aleksandrovna Kamyshanova,✅,✅,❌,❌,❌,✅,❌,Individual,,,
Aleksandra Melnichenko,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Aleksandra Sergeevna Kovalenko,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Aleksandrov Scientific Research Technological Institute NITI,❌,✅,❌,✅,❌,❌,❌,Entity,,,
Aleksei Alexandrovich Dikiy,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Aleksei Anatolievich Matveev,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Aleksei Didenko,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Aleksei Mikhailovich Chaliy,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Aleksei Mikhailovich Zhigulin,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Aleksei Petrovich Belous,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Aleksei Pushkov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Aleksei Sergeyevich Morenets,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Aleksei Valerievich Popovich,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Aleksei Viacheslavovich Bolshakov,❌,❌,✅,✅,✅,❌,❌,Individual,,,
Aleksei Vladimirovich Polovyan,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Aleksei Yurievich Chernyak,✅,✅,❌,❌,✅,✅,✅,Individual,,,
Aleksei Yuryevich Beletsky,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Aleksey Aleksandrovich Potemkin,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Aleksey Alekseevich Naydenko,✅,✅,✅,✅,✅,❌,❌,Individual,,,
Aleksey Govyrin,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Aleksey Ivanovich Granovsky,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Aleksey Konstantinovich Pushkov,✅,✅,❌,❌,✅,✅,❌,Individual,,,
Aleksey Krivoruchko,❌,✅,❌,❌,✅,✅,✅,Individual,,,
Aleksey Leonidovich Fisun,✅,✅,❌,❌,❌,❌,❌,Individual,,,
Aleksey Lvovich Rakhmanov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Aleksey Mikhailovich Salyaev,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Aleksey Mikhaylovich Mishustin,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Aleksey Mozgovoy,✅,❌,❌,❌,✅,❌,✅,Individual,,,
Aleksey Muratov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Aleksey Nikolaevich Chumakov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Aleksey Nikolayevich Kondratenko,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Aleksey O. Droganov,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Aleksey Petrovich Sosonnyy,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Aleksey Pimanov,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Aleksey Sitnikov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Aleksey Vasilevich Naumets,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Aleksey Vasilyevich Anichin,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Aleksey Viktorovich Lukashev,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Aleksey Vladimirovich Denisenko,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Aleksey Vladimirovich Kurinniy,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Aleksey Vladimirovich Prysev,❌,❌,✅,✅,✅,❌,❌,Individual,,,
Aleksey Vladimirovich Shatokhin,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Aleksey Vladimirovich Zavizon,❌,✅,❌,❌,❌,✅,❌,Individual,,,
Aleksey Vyacheslavovich Karyakin,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Aleksey Yevgenevich Veitz,❌,❌,✅,❌,❌,❌,❌,Individual,,,
Aleksey Yezubov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Aleksey Yurevich Krivoruchko,✅,✅,❌,❌,✅,✅,❌,Individual,,,
Alexander  Khodakovsky,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexander Aleksandrovich Borissov,✅,❌,✅,✅,❌,✅,❌,Individual,,,
Alexander Aleksandrovich Kokorev,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Alexander Aleksandrovich Malkevich,✅,✅,✅,✅,❌,❌,❌,Individual,,,
Alexander Aleksandrovich Maximov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexander Aleksandrovich Remezkov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexander Aleksandrovich Vedyakhin,✅,✅,❌,❌,✅,✅,❌,Individual,,,
Alexander Alexandrovich Avdeev,❌,✅,❌,❌,✅,❌,✅,Individual,,,
Alexander Alexandrovich Bondarenko,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Alexander Alexandrovich Borisov,❌,✅,❌,❌,✅,❌,✅,Individual,,,
Alexander Alexandrovich Karelin,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Alexandrovich Savin,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Alexandrovich Zharov,✅,✅,❌,❌,✅,✅,❌,Individual,,,
Alexander Alexandrovich Zhuravlyov,❌,✅,❌,❌,❌,✅,❌,Individual,,,
Alexander Anatolievich Maksimtsev,❌,❌,❌,✅,❌,❌,❌,Individual,,,
Alexander Anatolievich Maksimysev,❌,❌,✅,❌,❌,❌,❌,Individual,,,
Alexander Anatolievich Seryozhenko,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Alexander Anatolyevich Kochergin,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Alexander Andreyevich Yushchenko,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexander Arkadyevich Zhukov,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Alexander Arnoldovich Braverman,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Alexander Bogdanovich Karlin,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Borisovich Kogan,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexander Davidovich Bashkin,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Dmitrievich Pumpyansky,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Dmitriyevich Zhukov,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Alexander Dyukov,❌,✅,❌,❌,❌,✅,❌,Individual,,,
Alexander Evseyevich Khinshtein,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Alexander Fedorovich Saulenko,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Gennadyevich Vysokinsky,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Georgievich Yaroshuk,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Georgyevich Varfolomeev,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Grigoryevich Abramov,❌,❌,❌,❌,❌,✅,❌,Individual,,,
Alexander Grigoryevich Rumyantsev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexander Gromakov,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Alexander Igorevich Kots,❌,✅,❌,❌,❌,✅,❌,Individual,,,
Alexander Iltyakov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexander Ivanovich Bas,❌,✅,✅,✅,❌,✅,❌,Individual,,,
Alexander Ivanovich Bastrykin,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Alexander Ivanovich Sobol,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Alexander Khryakov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexander Koftilin,❌,❌,❌,❌,❌,❌,✅,Individual,,,
Alexander Konstantinovich Akimov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Mazhuga,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexander Mikhailovich Babakov,✅,✅,❌,❌,✅,✅,✅,Individual,,,
Alexander Mikhailovich Sholokhov,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Alexander Mikhaylovich Samokutyaev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexander Nikolaevich Belsky,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Alexander Nikolaevich Ganov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Nikolaevich Petaykin,❌,✅,✅,✅,❌,❌,❌,Individual,,,
Alexander Nikolayevich Nekrasov,✅,✅,❌,❌,✅,❌,❌,Individual,,,
Alexander Nikolayevich Shokhin,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Nikolayevich Tkachyov,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Nosatov,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Pavlovich Dyagovets,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Alexander Pavlovich Kurenkov,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Alexander Petrovich Kalashnikov,✅,❌,❌,❌,✅,❌,❌,Individual,,,
Alexander Petrovich Petrov,✅,✅,✅,✅,❌,✅,✅,Individual,,,
Alexander Ponomarenko,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Porfiryevich Torshin,✅,❌,❌,✅,✅,❌,❌,Individual,,,
Alexander Romanovich Tolmachev,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Alexander Ryhoravich Lukashenko,❌,❌,❌,❌,❌,✅,❌,Individual,,,
Alexander Semenovich Vinokurov,❌,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Sergeevich Aksyonenko,❌,✅,✅,✅,✅,✅,✅,Individual,,,
Alexander Sergeevich Banakh,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Alexander Sergeevich Chemezov,✅,✅,❌,❌,✅,✅,✅,Individual,,,
Alexander Sergeevich Kamyshov,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Alexander Sergeyevich Aksenenko,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Alexander Sergeyevich Drozdov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexander Sergeyevich Prokopyev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexander Valentinovich Ishchenko,❌,❌,✅,✅,❌,❌,❌,Individual,,,
Alexander Valeryevich Nikitin,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Vasilievich Avdeev,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Alexander Vasilievich Bogomaz,❌,✅,❌,❌,✅,❌,❌,Individual,,,
Alexander Vasilyevich Fomin,❌,✅,❌,❌,❌,✅,❌,Individual,,,
Alexander Vasilyevich Rakitin,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Vasilyevich Terentyev,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexander Viktorovich Bykadorov,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Alexander Viktorovich Kochkin,❌,❌,✅,✅,✅,❌,❌,Individual,,,
Alexander Viktorovich Malkov,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Alexander Viktorovich Moor,❌,✅,❌,❌,✅,❌,❌,Individual,,,
Alexander Viktorovich Uss,❌,✅,❌,❌,✅,❌,❌,Individual,,,
Alexander Vladelenovich Vainberg,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Alexander Vladimirovich Denisov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Alexander Vladimirovich Kopylov,❌,❌,✅,✅,✅,❌,❌,Individual,,,
Alexander Vladimirovich Korotkiy,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Alexander Vladimirovich Kovtyrin,❌,✅,✅,✅,✅,❌,❌,Individual,,,
Alexander Vladimirovich Narolin,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Vladimirovich Shcherbakov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexander Vladimirovich Smirnov,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Alexander Vladimirovich Yakubovsky,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexander Vladislavovich Gusakovsky,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Vyacheslavovich Demin,✅,✅,✅,❌,❌,✅,✅,Individual,,,
Alexander Vyacheslavovich Dyomin,❌,❌,❌,✅,❌,❌,❌,Individual,,,
Alexander Vyacheslavovich Noviukhov,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Yevgenevych Ananchenko,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexander Yevgenievich Lebedev,❌,❌,❌,❌,✅,❌,❌,Individual,,,
Alexander Yevgeniyevich Mishkin,✅,❌,❌,❌,❌,❌,❌,Individual,,,
Alexander Yurevich Spiridonov,✅,✅,✅,✅,✅,✅,✅,Individual,,,
Alexander Yurievich Drozdenko,❌,✅,❌,❌,✅,❌,❌,Individual,,,
Alexander Yuryevich Boroday,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Yuryevich Bryksin,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Yuryevich Pronyushkin,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexander Zakharchenko,✅,❌,❌,❌,✅,❌,✅,Individual,,,
Alexandr Aleksandrovich Kalyussky,❌,✅,❌,❌,✅,❌,❌,Individual,,,
Alexandr Arkadievich Kalyussky,❌,❌,✅,✅,❌,✅,✅,Individual,,,
Alexandr Vasilievich Shubin,✅,✅,✅,✅,✅,✅,❌,Individual,,,
Alexandra Alexandrovna Usacheva,❌,✅,✅,✅,✅,❌,✅,Individual,,,
Alexandra Gennadyevna Zhukova,❌,❌,❌,❌,❌,✅,❌,Individual,,,
